topology,p,threshold,cell_break_um
rectilinear,100,0.05,1174.19471794944
rectilinear,100,0.1,558.8255119111546
rectilinear,100,0.2,270.72469890465413
rectilinear,100,0.3,164.16524955104902
rectilinear,200,0.05,503.5462592445107
rectilinear,200,0.1,260.21712424054783
rectilinear,200,0.2,131.21219180855186
rectilinear,200,0.3,78.81122575785089
rectilinear,500,0.05,212.1323092113043
rectilinear,500,0.1,111.09970461975395
rectilinear,500,0.2,55.92107329973193
rectilinear,500,0.3,33.33766353032147
rectilinear,1000,0.05,128.39251545672397
rectilinear,1000,0.1,62.199402670973356
rectilinear,1000,0.2,30.078650038910673
rectilinear,1000,0.3,
gyroid,100,0.05,629.5022703405091
gyroid,100,0.1,376.47099566933946
gyroid,100,0.2,186.59953419192846
gyroid,100,0.3,109.20890468175034
gyroid,200,0.05,297.34409768479173
gyroid,200,0.1,182.69237790410628
gyroid,200,0.2,91.45606408257078
gyroid,200,0.3,52.87580279020174
gyroid,500,0.05,131.12518540721317
gyroid,500,0.1,76.08439316794313
gyroid,500,0.2,39.05044567978448
gyroid,500,0.3,
gyroid,1000,0.05,73.98648088601219
gyroid,1000,0.1,43.9801862851038
gyroid,1000,0.2,
gyroid,1000,0.3,
