geometry,f_designed,cell_size,l_int,N_eff_exact,N_eff_asymp,Var_t,k1,k2,k3,k4
gyroid,0.2000,0.5,1.62769,5.5496,3.0718,2.882734e+00,1.999688e+00,2.882734e+00,1.306101e+00,-4.258164e+00
gyroid,0.2000,1.0,1.63309,5.5496,3.0617,2.882734e+00,1.999688e+00,2.882734e+00,1.306101e+00,-4.258164e+00
gyroid,0.2000,1.6,1.55434,5.5230,3.2168,2.896628e+00,1.999688e+00,2.896628e+00,1.359953e+00,-4.285722e+00
gyroid,0.2000,2.5,1.53945,5.5496,3.2479,2.882734e+00,1.999688e+00,2.882734e+00,1.306101e+00,-4.258164e+00
gyroid,0.2001,3.3,1.39403,5.5617,3.5867,2.877664e+00,1.997299e+00,2.877664e+00,1.299938e+00,-4.290765e+00
gyroid,0.2000,4.0,1.98383,5.2852,2.5204,3.026978e+00,1.999688e+00,3.026978e+00,1.894909e+00,-4.349043e+00
gyroid,0.2993,0.5,2.08115,4.3376,2.4025,4.834792e+00,2.992812e+00,4.834792e+00,4.268499e+00,9.746093e+00
gyroid,0.2993,1.0,2.08741,4.3376,2.3953,4.834792e+00,2.992812e+00,4.834792e+00,4.268499e+00,9.746093e+00
gyroid,0.2993,1.6,1.99762,4.3230,2.5030,4.851071e+00,2.992812e+00,4.851071e+00,4.316285e+00,9.494217e+00
gyroid,0.2993,2.5,1.97780,4.3376,2.5281,4.834792e+00,2.992812e+00,4.834792e+00,4.268499e+00,9.746093e+00
gyroid,0.2995,3.3,1.82711,4.3509,2.7366,4.822039e+00,2.989774e+00,4.822039e+00,4.217852e+00,9.537313e+00
gyroid,0.2993,4.0,2.44188,4.1810,2.0476,5.015889e+00,2.992812e+00,5.015889e+00,4.827925e+00,7.003080e+00
gyroid,0.4000,0.5,2.32654,3.8791,2.1491,6.187109e+00,4.000312e+00,6.187109e+00,3.659903e+00,7.606318e+00
gyroid,0.4000,1.0,2.33332,3.8791,2.1429,6.187109e+00,4.000312e+00,6.187109e+00,3.659903e+00,7.606318e+00
gyroid,0.4000,1.6,2.23721,3.8684,2.2349,6.204255e+00,4.000312e+00,6.204255e+00,3.686321e+00,7.145172e+00
gyroid,0.4000,2.5,2.21304,3.8791,2.2593,6.187109e+00,4.000312e+00,6.187109e+00,3.659903e+00,7.606318e+00
gyroid,0.4002,3.3,2.06638,3.8925,2.4197,6.166560e+00,3.994650e+00,6.166560e+00,3.615042e+00,7.508540e+00
gyroid,0.4000,4.0,2.68384,3.7584,1.8630,6.385922e+00,4.000312e+00,6.385922e+00,3.979997e+00,2.140003e+00
gyroid,0.5000,0.5,2.39880,3.7621,2.0844,6.645313e+00,5.000000e+00,6.645313e+00,0.000000e+00,2.839780e+00
gyroid,0.5000,1.0,2.40572,3.7621,2.0784,6.645313e+00,5.000000e+00,6.645313e+00,0.000000e+00,2.839780e+00
gyroid,0.5000,1.6,2.30790,3.7522,2.1665,6.662744e+00,5.000000e+00,6.662744e+00,5.151435e-16,2.300663e+00
gyroid,0.5000,2.5,2.28202,3.7621,2.1910,6.645313e+00,5.000000e+00,6.645313e+00,0.000000e+00,2.839780e+00
gyroid,0.5000,3.3,2.13740,3.7753,2.3393,6.621959e+00,4.991250e+00,6.621959e+00,1.881273e-15,2.853593e+00
gyroid,0.5000,4.0,2.75475,3.6497,1.8150,6.849825e+00,5.000000e+00,6.849825e+00,1.563194e-15,-3.673802e+00
schwarzp,0.2007,0.5,3.77446,2.3923,1.3247,6.706198e+00,2.007188e+00,6.706198e+00,1.674321e+01,-1.841862e+01
schwarzp,0.2007,1.0,3.79820,2.3923,1.3164,6.706198e+00,2.007188e+00,6.706198e+00,1.674321e+01,-1.841862e+01
schwarzp,0.2065,1.6,3.81341,2.3372,1.3112,7.011440e+00,2.065200e+00,7.011440e+00,1.727681e+01,-2.519772e+01
schwarzp,0.2007,2.5,3.60001,2.3923,1.3889,6.706198e+00,2.007188e+00,6.706198e+00,1.674321e+01,-1.841862e+01
schwarzp,0.2029,3.3,3.57992,2.3971,1.3967,6.748103e+00,2.025891e+00,6.748103e+00,1.659205e+01,-2.041828e+01
schwarzp,0.2007,4.0,3.96745,2.3923,1.2603,6.706198e+00,2.007188e+00,6.706198e+00,1.674321e+01,-1.841862e+01
schwarzp,0.2997,0.5,4.00655,2.2522,1.2480,9.319093e+00,2.997031e+00,9.319093e+00,2.071268e+01,-4.442144e+01
schwarzp,0.2997,1.0,4.02470,2.2522,1.2423,9.319093e+00,2.997031e+00,9.319093e+00,2.071268e+01,-4.442144e+01
schwarzp,0.3069,1.6,3.99571,2.2297,1.2513,9.540687e+00,3.069338e+00,9.540687e+00,1.980320e+01,-5.761361e+01
schwarzp,0.2997,2.5,3.87398,2.2522,1.2907,9.319093e+00,2.997031e+00,9.319093e+00,2.071268e+01,-4.442144e+01
schwarzp,0.3024,3.3,3.80034,2.2641,1.3157,9.317541e+00,3.018830e+00,9.317541e+00,2.012261e+01,-4.708520e+01
schwarzp,0.2997,4.0,4.19633,2.2522,1.1915,9.319093e+00,2.997031e+00,9.319093e+00,2.071268e+01,-4.442144e+01
schwarzp,0.4001,0.5,4.13224,2.1829,1.2100,1.099562e+01,4.000938e+00,1.099562e+01,1.338857e+01,-1.141428e+02
