part,target_f,f_designed,f_err,cell,facets,watertight,vol,vol_err,facet_flag
gyroid_f20_c2.5.stl,0.2,0.2000,-0.0002,2.5,61720,True,12.4866,0.0000,False
gyroid_f30_c2.5.stl,0.3,0.2993,-0.0024,2.5,75640,True,18.7425,-0.0000,False
gyroid_f40_c2.5.stl,0.4,0.4000,0.0001,2.5,84424,True,25.1237,0.0000,False
gyroid_f50_c2.5.stl,0.5,0.5000,0.0000,2.5,90328,True,31.1924,-0.0000,False
schwarzp_f20_c2.5.stl,0.2,0.2007,0.0036,2.5,62416,True,12.4759,0.0000,False
schwarzp_f30_c2.5.stl,0.3,0.2997,-0.0010,2.5,80560,True,18.5233,0.0000,False
schwarzp_f40_c2.5.stl,0.4,0.4001,0.0002,2.5,89824,True,25.1272,0.0000,False
schwarzp_f50_c2.5.stl,0.5,0.5000,0.0000,2.5,94864,True,31.1908,0.0000,False
diamond_f20_c2.5.stl,0.2,0.1994,-0.0028,2.5,76040,True,12.7325,0.0000,False
diamond_f30_c2.5.stl,0.3,0.3000,0.0000,2.5,89480,True,18.7712,0.0000,False
diamond_f40_c2.5.stl,0.4,0.3994,-0.0014,2.5,98696,True,24.8639,-0.0000,False
diamond_f50_c2.5.stl,0.5,0.5000,0.0000,2.5,104264,True,31.1902,-0.0000,False
rectilinear_f20_c2.5.stl,0.2,0.2007,0.0036,2.5,62656,True,11.6903,0.0000,False
rectilinear_f30_c2.5.stl,0.3,0.2996,-0.0013,2.5,76096,True,18.3271,0.0000,False
rectilinear_f40_c2.5.stl,0.4,0.3995,-0.0011,2.5,86464,True,24.7294,0.0000,False
rectilinear_f50_c2.5.stl,0.5,0.5014,0.0028,2.5,88432,True,30.4428,0.0000,False
voronoi_f20_c2.5.stl,0.2,0.2000,0.0000,2.5,843452,True,112.6982,-0.0000,True
voronoi_f30_c2.5.stl,0.3,0.3000,0.0000,2.5,795286,True,168.9026,0.0000,True
voronoi_f40_c2.5.stl,0.4,0.4000,0.0000,2.5,749686,True,225.1723,0.0000,True
voronoi_f50_c2.5.stl,0.5,0.5000,0.0000,2.5,727378,True,281.4613,0.0000,True
